股票代码,股票名称,权重,自由现金流(万元),自由现金流率,企业价值(万元),经营活动现金流(万元),营业收入(万元),净利润(万元),ROE
002824,中小企业56,0.01230156715790512,58213.02756159861,0.048734625494111006,1194490.097572063,83717.37715786342,1051928.2951691663,85244.26739204211,0.14672390458913642
002396,深圳公司27,0.004439168321209058,21006.870467479952,0.042598479305293944,493136.6285854554,34715.82910234533,224058.43533846032,33306.6280751317,0.10598605366133644
002107,中小企业54,0.007109607096007749,33643.82346732771,0.04221302580474603,797000.9926070053,51515.881992980736,400292.95300455025,51899.47408853734,0.19654609882892513
002560,深圳公司48,0.006677128696119191,31597.26495251845,0.041259067081054826,765825.9671854568,49368.178699934164,491719.31952747307,44121.34959349938,0.20278293662682126
300690,创业公司15,0.0021903089817658845,10364.900299879162,0.040009771339960025,259059.22360338885,16501.28766752005,116637.50235392206,14181.078718006433,0.24513716598707874
002652,中小企业29,0.004319398602409481,20440.100571252187,0.03927270142072574,520465.8664113477,40745.76408211035,492305.811745261,37403.12032406608,0.11743114433146792
002169,中小企业60,0.005025672219998747,23782.302832070105,0.038765381963058995,613493.3187226986,34165.47584667251,277507.4758415,33369.30187635179,0.16801097937540094
300584,创业公司16,0.004461580304289343,21112.927636620738,0.03455004129244563,611082.5587128048,41966.597600395224,539757.6309137616,36756.25067013469,0.22802748321632693
300584,创业公司19,0.004461580304289343,21112.927636620738,0.03455004129244563,611082.5587128048,41966.597600395224,539757.6309137616,36756.25067013469,0.22802748321632693
605506,示例公司3,0.0030328342798574435,14351.867795124721,0.034513506767891854,415833.368995015,34435.86254013425,242261.67781632787,33097.21252680799,0.244884674867539
300438,创业公司3,0.021793186666918384,103128.92331617574,0.03445773975357296,2992910.273677547,151836.24741333307,2431948.4878644687,129279.01210784225,0.20054028830665577
002312,深圳公司33,0.010566702978139957,50003.366547196776,0.03407217878885688,1467571.7351996903,79982.03164843528,925655.1395094673,72199.16567565782,0.15232419456479085
604657,示例公司5,0.0075696485058893955,35820.81465301641,0.033904208758344836,1056530.0287150878,55604.902362432316,672670.0704624201,53223.61614889369,0.14228151335992759
603286,示例公司6,0.018495040035306227,87521.55408396748,0.03374685052449966,2593473.249316355,189017.4835690743,2686214.037885014,187947.3535573887,0.18328262482324453
001228,深圳公司35,0.004571084693361459,21631.12031380941,0.03337160986992925,648189.2961747987,31844.629787963782,320391.06474653963,31434.85218987933,0.10285049507962563
001611,深圳公司55,0.004863103517154875,23013.001144095968,0.033016481917659664,697015.54519008,33937.707037411754,324083.8489734176,35366.474350636,0.2164850862616619
300597,创业公司9,0.002086571875136894,9873.999346379647,0.03259244329956743,302953.64037683833,22447.553843416405,126073.47867921133,18864.802206296044,0.1956388012133195
601106,示例公司24,0.0026655533353350156,12613.83430135196,0.032037849361227035,393716.6368169994,23664.149882591762,464794.4768446823,23562.85502955419,0.10037711244672608
602674,示例公司32,0.10330851423787822,645437.088619283,0.03177664447947881,20311681.71441459,930876.5384693095,7967279.298760787,869144.8763427906,0.11850428178364944
002702,中小企业49,0.00877226382930816,41511.78703641631,0.031721576361593964,1308629.3872417882,76736.94003833749,790540.3301999989,72708.15368167358,0.2472762001531708
002702,中小企业52,0.00877226382930816,41511.78703641631,0.031721576361593964,1308629.3872417882,76736.94003833749,790540.3301999989,72708.15368167358,0.2472762001531708
002762,深圳公司21,0.010072254254772067,47663.55432719718,0.031544757650720796,1510981.7883196853,72532.78288445197,707862.8438771727,71612.88712623791,0.17054493529735393
300348,创业公司17,0.011336312048040705,53645.28252608884,0.030728238199002385,1745797.5357607869,84535.28168353073,948577.0057735876,81504.90168059806,0.24480009479699888
002133,深圳公司20,0.0067351018562271355,31871.603426948357,0.03056980466948293,1042584.4643608397,79478.00377880875,928598.5109828211,80687.19118771543,0.12291428053848352
002562,中小企业42,0.001883099483975484,8911.134715990505,0.03048162465369739,292344.4802312922,13239.737766775666,152591.51053808036,12222.024056638355,0.13880011968200265
002280,深圳公司54,0.012647250662420775,59848.85843726296,0.030366609337338656,1970877.2149175396,164221.08643094034,2242944.916450331,137545.9157492457,0.23654312004495326
601434,示例公司17,0.01799204158116702,85141.28313975442,0.030167030544434946,2822328.933381242,126214.39222963116,1205120.7949595014,135370.99315789455,0.135281164744547
002597,中小企业11,0.004174230626356562,19753.14196812823,0.030067308156470057,656964.0975285523,28828.41507125963,311030.9643973369,25476.561013116483,0.11910150233890951
002330,中小企业45,0.007889857213321092,37336.094622788936,0.029907866591942247,1248370.3746641693,71574.59570952682,524913.0971241134,66685.34922909363,0.24951116502681087
001743,深圳公司78,0.03211604703282008,151978.38674479333,0.029799244673826396,5100075.133054653,285409.8214969135,3625061.6487642485,244826.25208147411,0.16821600989808239
604150,示例公司47,0.012458387223774342,58955.12575928966,0.029760894612144557,1980959.4613204869,101259.11319444395,606237.2092387709,88730.08902967024,0.22469323415786568
001365,深圳公司49,0.016895405101978313,79951.81997879097,0.028800962614822116,2776012.0745979715,133413.0452495582,1098635.0088265561,131171.35598255656,0.11087161185624236
002187,中小企业9,0.0028001527686545955,13250.780831906251,0.028584159529525748,463570.76961521216,39696.21035153854,567841.4461805274,38645.88882119167,0.19856144543196277
001096,深圳公司2,0.002299109352688306,10879.76144804995,0.028575529711633373,380736.99972815183,23779.332439499773,319860.7668941666,20124.34130290425,0.19418911634899563
300684,创业公司14,0.00247982580801534,11734.94126861669,0.028510414222696304,411601.92121217406,19058.42431856546,149768.16213841186,16359.930112471813,0.18736523741572847
603615,示例公司25,0.005243992591178859,24815.430532112718,0.02838838501228734,874140.2697396086,43481.00912356533,440979.2469528884,36937.09075218864,0.19951322301218022
001864,深圳公司10,0.005973776383774216,28268.88678586015,0.027787974312503357,1017306.4962544033,47375.19765993251,333138.0863116348,47525.06714021601,0.24660553779853106
002478,深圳公司42,0.0030051863872858227,14221.033446002168,0.026753219595092675,531563.4402601294,26024.709138274367,306446.2815149101,22438.385770575263,0.23410025886397295
002629,中小企业41,0.013411930474993594,63467.4483643597,0.026462747662237055,2398369.5561186643,112680.55149832256,913054.2113969063,95073.28348470705,0.23844477793670293
